REQUESTED_FRE_ID;PHOTONIC_SERVICE_ID;FREQUENCY;WIDTH;WAVELENGTH;CHANNEL
-160181617838685002;6905522341586685944-snc::controlPlane;195.850000;101.800;1530.72;CH-2
-160181617838685002;-8130710136355647135;195.450000;37.5;1533.86;CH-10
-160181617838685002;-5153329942150178913-snc::controlPlane;195.650000;59.000;1532.29;CH-6
-160181617838685002;;;;;
-160181617838685002;-4651170889898275739;195.250000;37.5;1535.43;CH-14
-160181617838685002;;;;;
-160181617838685002;-2069650281965119598;192.650000;37.500;1556.15;CH-66
-160181617838685002;6963215757405218308;194.900000;37.5;1538.19;CH-21
-160181617838685002;-415940517515033670;195.200000;37.5;1535.82;CH-15
-160181617838685002;7064722878379407198;195.400000;37.5;1534.25;CH-11
-1924338652343423293;2886311064373298057;195.300000;37.5;1535.04;CH-13
-1924338652343423293;-4684772670472070426-snc::controlPlane;196.087500;37.500;;
-1924338652343423293;;;;;
-1924338652343423293;4605396676815691798-snc::controlPlane;191.950000;37.500;1561.83;CH-80
-1924338652343423293;-415940517515033670;195.200000;37.5;1535.82;CH-15
-1924338652343423293;-8832444057281726131-snc::controlPlane;195.550000;59.000;1533.07;CH-8
-1924338652343423293;;;;;
-1924338652343423293;-4651170889898275739;195.250000;37.5;1535.43;CH-14
-1924338652343423293;6905522341586685944-snc::controlPlane;195.850000;101.800;1530.72;CH-2
-1924338652343423293;1408628611394293437;193.500000;37.500;1549.32;CH-49
-1924338652343423293;-6335071299142812468;195.400000;37.5;1534.25;CH-11
-1924338652343423293;9038606849305190295-snc::controlPlane;193.200000;37.500;1551.72;CH-55
-1924338652343423293;6963215757405218308;194.900000;37.5;1538.19;CH-21
-1924338652343423293;;;;;
-1924338652343423293;;;;;
-1924338652343423293;-7231239132366988608;195.150000;37.5;1536.22;CH-16
-1924338652343423293;6441428408112488886;193.300000;37.5;1550.92;CH-53
-1924338652343423293;;;;;
-1924338652343423293;5023027271737781951;195.350000;37.5;1534.64;CH-12
-2017457964338917446;;;;;
-2017457964338917446;-6335071299142812468;195.400000;37.5;1534.25;CH-11
-2017457964338917446;;;;;
-2017457964338917446;6441428408112488886;193.300000;37.5;1550.92;CH-53
-2017457964338917446;-8832444057281726131-snc::controlPlane;195.550000;59.000;1533.07;CH-8
-2017457964338917446;9038606849305190295-snc::controlPlane;193.200000;37.500;1551.72;CH-55
-2017457964338917446;4605396676815691798-snc::controlPlane;191.950000;37.500;1561.83;CH-80
-2017457964338917446;-415940517515033670;195.200000;37.5;1535.82;CH-15
-2017457964338917446;2886311064373298057;195.300000;37.5;1535.04;CH-13
-2017457964338917446;6905522341586685944-snc::controlPlane;195.850000;101.800;1530.72;CH-2
-2017457964338917446;5023027271737781951;195.350000;37.5;1534.64;CH-12
-2017457964338917446;-4684772670472070426-snc::controlPlane;196.087500;37.500;;
-2017457964338917446;1408628611394293437;193.500000;37.500;1549.32;CH-49
-2017457964338917446;-4651170889898275739;195.250000;37.5;1535.43;CH-14
-2017457964338917446;;;;;
-2017457964338917446;;;;;
-2017457964338917446;-7231239132366988608;195.150000;37.5;1536.22;CH-16
-2017457964338917446;6963215757405218308;194.900000;37.5;1538.19;CH-21
-2017457964338917446;;;;;
-210433580605476982;;;;;
-210433580605476982;-415940517515033670;195.200000;37.5;1535.82;CH-15
-210433580605476982;;;;;
-210433580605476982;-8832444057281726131-snc::controlPlane;195.550000;59.000;1533.07;CH-8
-210433580605476982;-5153329942150178913-snc::controlPlane;195.650000;59.000;1532.29;CH-6
-210433580605476982;;;;;
-210433580605476982;-4651170889898275739;195.250000;37.5;1535.43;CH-14
-210433580605476982;6905522341586685944-snc::controlPlane;195.850000;101.800;1530.72;CH-2
-210433580605476982;1408628611394293437;193.500000;37.500;1549.32;CH-49
-210433580605476982;-6600324024976410631;195.450000;37.5;1533.86;CH-10
-210433580605476982;9038606849305190295-snc::controlPlane;193.200000;37.500;1551.72;CH-55
-210433580605476982;6963215757405218308;194.900000;37.5;1538.19;CH-21
-210433580605476982;6441428408112488886;193.300000;37.5;1550.92;CH-53
-210433580605476982;;;;;
-210433580605476982;5023027271737781951;195.350000;37.5;1534.64;CH-12
-2188716338357475633;-5757411563800730252-snc::controlPlane;195.100000;101.800;1536.61;CH-17
-2188716338357475633;5125166179161529183-snc::controlPlane;193.950000;101.800;1545.72;CH-40
-2188716338357475633;5465984141894503877;193.500000;37.5;1549.32;CH-49
